Agency Name,ORI Number
ROSEPINE POLICE DEPARTMENT,LA0580300
RUSTON POLICE DEPARTMENT,LA0310200
SALINE POLICE DEPARTMENT,LA0070300
SAREPTA POLICE DEPARTMENT,LA0600600
SCOTT POLICE DEPARTMENT,LA0280600
SHONGALOO POLICE DEPARTMENT,LA0601100
SHREVEPORT POLICE DEPARTMENT,LA0090100
SIBLEY POLICE DEPARTMENT,LA0600700
SICILY ISLAND POLICE DEPARTMENT,LA0130200
SIKES POLICE DEPARTMENT,LA0640400
SIMMESPORT POLICE DEPARTMENT,LA0050300
SIMPSON POLICE DEPARTMENT,LA0580500
SIMSBORO POLICE DEPARTMENT,LA0310500
SLAUGHTER POLICE DEPARTMENT,LA0190400
SLIDELL POLICE DEPARTMENT,LA0520200
SORRENTO POLICE DEPARTMENT,LA0030300
SOUTH MANSFIELD POLICE DEPARTMENT,LA0160400
SPEARSVILLE POLICE DEPARTMENT,LA0560600
SPRINGFIELD POLICE DEPARTMENT,LA0320500
SPRINGHILL POLICE DEPARTMENT,LA0600200
ST. FRANCISVILLE POLICE DEPARTMENT,LA0630100
ST. GABRIEL POLICE DEPARTMENT,LA0240600
ST. JOSEPH POLICE DEPARTMENT,LA0540300
ST. MARTINVILLE POLICE DEPARTMENT,LA0500200
STANLEY POLICE DEPARTMENT,LA0160700
STERLINGTON POLICE DEPARTMENT,LA0370300
STONEWALL POLICE DEPARTMENT,LA0160800
SULPHUR POLICE DEPARTMENT,LA0100300
SUN POLICE DEPARTMENT,LA0520400
SUNSET POLICE DEPARTMENT,LA0490400
TALLULAH POLICE DEPARTMENT,LA0330100
TANGIPAHOA POLICE DEPARTMENT,LA0530700
TENSAS BASIN LEVEE DISTRICT POLICE DEPARTMENT,LA0370900
THIBODAUX POLICE DEPARTMENT,LA0290500
TICKFAW POLICE DEPARTMENT,LA0530800
TULLOS POLICE DEPARTMENT,LA0300300
TURKEY CREEK POLICE DEPARTMENT,LA0200500
URANIA POLICE DEPARTMENT,LA0300400
VARNADO POLICE DEPARTMENT,LA0590300
VIDALIA POLICE DEPARTMENT,LA0150200
VILLAGE OF ATHENS POLICE DEPARTMENT,LA0140300
VILLAGE OF CASTOR POLICE DEPARTMENT,LA0070400
VILLAGE OF MCNARY POLICE DEPARTMENT,LA0400900
VILLAGE OF PIONEER POLICE DEPARTMENT,LA0620500
VILLE PLATTE POLICE DEPARTMENT,LA0200300
VINTON POLICE DEPARTMENT,LA0100400
VIVIAN POLICE DEPARTMENT,LA0090200
WALKER POLICE DEPARTMENT,LA0320300
WASHINGTON POLICE DEPARTMENT,LA0490500
WATERPROOF POLICE DEPARTMENT,LA0540200
WELSH POLICE DEPARTMENT,LA0270400
