Agency Name,ORI Number
PLAIN DEALING POLICE DEPARTMENT,LA0080300
PLAQUEMINE POLICE DEPARTMENT,LA0240200
PLAQUEMINES PARISH SHERIFF'S OFFICE,LA0380000
PLAUCHEVILLE POLICE DEPARTMENT,LA0050900
PLEASANT HILL POLICE DEPARTMENT,LA0430400
POINTE COUPEE PARISH SHERIFF'S OFFICE,LA0390000
POLLOCK POLICE DEPARTMENT,LA0220500
PONCHATOULA POLICE DEPARTMENT,LA0530300
PORT ALLEN POLICE DEPARTMENT,LA0610100
PORT BARRE POLICE DEPARTMENT,LA0490600
PORT BARRE POLICE DEPT,LA0490600
PORT VINCENT POLICE DEPARTMENT,LA0320600
PORT VINCENT POLICE DEPT.,LA0320600
POWHATAN POLICE DEPARTMENT,LA0350800
PROVENCAL POLICE DEPARTMENT,LA0350300
QUITMAN POLICE DEPARTMENT,LA0250600
RAPIDES PARISH SHERIFF'S OFFICE,LA0400000
RAYNE POLICE DEPARTMENT,LA0010200
RAYVILLE POLICE DEPARTMENT,LA0420200
RED RIVER PARISH SHERIFF'S OFFICE,LA0410000
REEVES POLICE DEPARTMENT,LA0020500
RICHLAND PARISH SHERIFF'S OFFICE,LA0420000
RICHMOND POLICE DEPARTMENT,LA0330400
RICHWOOD POLICE DEPARTMENT,LA0370500
RIDGECREST POLICE DEPARTMENT,LA0150400
RINGGOLD POLICE DEPARTMENT,LA0070900
ROBELINE POLICE DEPARTMENT,LA0350600
RODESSA POLICE DEPARTMENT,LA0090900
ROSEDALE POLICE DEPARTMENT,LA0240500
ROSEDALE POLICE DEPT,LA0240500
ROSELAND POLICE DEPARTMENT,LA0530600
ROSEPINE POLICE DEPARTMENT,LA0580300
RUSTON POLICE DEPARTMENT,LA0310200
SABINE PARISH SHERIFF'S OFFICE,LA0430000
SALINE POLICE DEPARTMENT,LA0070300
SAREPTA POLICE DEPARTMENT,LA0600600
SCOTT POLICE DEPARTMENT,LA0280600
SHONGALOO POLICE DEPARTMENT,LA0601100
SHREVEPORT POLICE DEPARTMENT,LA0090100
SIBLEY POLICE DEPARTMENT,LA0600700
SICILY ISLAND POLICE DEPARTMENT,LA0130200
SIKES POLICE DEPARTMENT,LA0640400
SIMMESPORT POLICE DEPARTMENT,LA0050300
SIMMESPORT POLICE DEPT.,LA0050300
SIMPSON POLICE DEPARTMENT,LA0580500
SIMSBORO POLICE DEPARTMENT,LA0310500
SLAUGHTER POLICE DEPARTMENT,LA0190400
SLIDELL POLICE DEPARTMENT,LA0520200
SORRENTO POLICE DEPARTMENT,LA0030300
SOUTH MANSFIELD POLICE DEPARTMENT,LA0160400
SOUTHEASTERN LOUISIANA UNIVERSITY POLICE,LA0530900
SOUTHERN UNIV PD NEW ORLEANS,LA0361200
SOUTHERN UNIVERSITY AND A & M COLLEGE - SHREVEPORT,LA0080700
SOUTHERN UNIVERSITY AND A & M COLLEGE POLICE,LA0170600
SPEARSVILLE POLICE DEPARTMENT,LA0560600
SPRINGFIELD POLICE DEPARTMENT,LA0320500
SPRINGHILL POLICE DEPARTMENT,LA0600200
ST. BERNARD PARISH SHERIFF'S OFFICE,LA0440000
ST. CHARLES PARISH SHERIFF'S OFFICE,LA0450000
ST. FRANCISVILLE POLICE DEPARTMENT,LA0630100
ST. GABRIEL POLICE DEPARTMENT,LA0240600
ST. HELENA PARISH SHERIFF'S OFFICE,LA0460000
ST. JAMES PARISH SHERIFF'S OFFICE,LA0470000
ST. JOHN THE BAPTIST PARISH SHERIFF'S OFFICE,LA0480000
ST. JOSEPH POLICE DEPARTMENT,LA0540300
ST. LANDRY PARISH SHERIFF'S OFFICE,LA0490000
ST. MARTIN PARISH SHERIFF'S OFFICE,LA0500000
ST. MARTINVILLE POLICE DEPARTMENT,LA0500200
ST. MARY PARISH SHERIFF'S OFFICE,LA0510000
ST. TAMMANY PARISH SHERIFF'S OFFICE,LA0520000
STANLEY POLICE DEPARTMENT,LA0160700
STERLINGTON POLICE DEPARTMENT,LA0370300
STONEWALL POLICE DEPARTMENT,LA0160800
SULPHUR POLICE DEPARTMENT,LA0100300
SUN POLICE DEPARTMENT,LA0520400
SUNSET POLICE DEPARTMENT,LA0490400
TALLULAH POLICE DEPARTMENT,LA0330100
TALLULAH POLICE DEPT.,LA0330100
TANGIPAHOA PARISH SHERIFF'S OFFICE,LA0530000
TANGIPAHOA POLICE DEPARTMENT,LA0530700
TENSAS BASIN LEVEE DISTRICT POLICE,LA0370900
TENSAS BASIN LEVEE DISTRICT POLICE DEPARTMENT,LA0370900
